SC_CODE,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI
500002,ABB LTD.    ,A ,Q,1315.65,1325.50,1299.90,1308.80,1308.80,1315.65,6769,17970,23561327.00,
500003,AEGIS LOGIS ,A ,Q,243.80,249.05,243.00,246.15,245.75,245.20,365,14700,3619014.00,
500008,AMAR RAJA BA,A ,Q,772.50,793.30,771.05,783.05,783.05,772.50,484,15376,12065166.00,
500009,A.SARABHAI  ,X ,Q,10.20,10.73,9.90,10.06,10.06,10.40,60,11683,118503.00,
500010,HDFC        ,A ,Q,1775.00,1806.40,1770.00,1800.00,1800.00,1775.45,2344,170821,306046069.00,
500012,ANDHRA PETRO,X ,Q,55.10,55.85,52.75,54.15,54.05,55.50,209,34815,1880593.00,
500013,ANSAL INFRAS,B ,Q,21.50,23.35,21.50,22.75,23.05,22.25,157,30651,696657.00,
500014,APPLE FINANC,XT,Q,3.05,3.19,3.05,3.19,3.19,3.05,13,3720,11392.00,
500020,BOM DYEING  ,A ,Q,264.05,272.00,261.30,264.00,264.00,267.60,4370,467024,124754942.00,
500023,ASIANHOTNR  ,T ,Q,281.00,302.95,281.00,300.00,300.00,295.00,21,1706,510995.00,
500024,ASSAMCO     ,B ,Q,4.23,4.35,4.20,4.23,4.23,4.25,62,41479,175876.00,
500027,ATUL LTD.   ,A ,Q,2600.00,2646.00,2600.00,2639.40,2639.40,2603.40,78,419,1101254.00,
500028,ATV PROJECTS,XT,Q,9.61,10.37,9.61,10.10,10.10,10.09,18,2954,29459.00,
500029,AUTOLITE(I) ,B ,Q,68.05,68.05,65.30,67.70,67.70,67.55,17,923,61894.00,
500031,BAJAJ ELECT.,A ,Q,554.00,574.80,545.00,554.05,554.05,557.90,1978,77167,43325376.00,
500032,BAJAJHIND   ,A ,Q,10.12,10.40,9.96,10.09,10.09,10.14,1219,1009758,10228460.00,
500033,FORCE MOTR  ,B ,Q,2783.10,2924.00,2781.00,2796.20,2796.20,2782.20,4087,42907,121499251.00,
500034,BAJFINANCE  ,A ,Q,1631.00,1666.30,1614.95,1654.95,1654.35,1637.65,1937,97222,158766155.00,
500038,BALRAM.CHINI,A ,Q,81.05,87.70,80.60,85.95,85.95,81.50,3337,631889,53899357.00,
500039,BANCO PROD. ,B ,Q,210.10,217.60,210.10,216.30,216.00,213.40,279,11869,2563952.00,
500040,CENTURY TEXT,A ,Q,1150.00,1167.25,1137.85,1154.15,1154.15,1158.30,738,28612,33042151.00,
500041,BANNARI AMAN,B ,Q,1605.00,1623.00,1600.00,1600.00,1600.00,1600.00,19,1439,2304527.00,
500042,BASF INDIA  ,B ,Q,1997.05,1997.05,1979.00,1986.30,1982.00,1978.15,119,278,552602.00,
500043,BATA INDIA  ,A ,Q,674.00,695.00,673.60,690.85,690.85,677.05,3271,43398,29619221.00,
500048,BEML LTD    ,A ,Q,1003.00,1071.55,996.00,1048.40,1048.40,1028.30,3373,78512,80342327.00,
500049,BHARAT ELECT,A ,Q,146.05,150.00,146.05,149.50,149.00,148.45,1234,334359,49790359.00,
500052,BHANSALI ENG,B ,Q,161.50,166.40,159.75,165.50,165.50,164.10,1011,127947,20991374.00,
500055,BHUSH STEEL ,B ,Q,40.45,42.65,40.10,41.70,41.70,40.50,2388,568828,23524700.00,
500058,BIHAR SPONGE,XT,Q,2.31,2.31,2.27,2.27,2.27,2.38,9,2140,4863.00,
500059,BINANI IND. ,B ,Q,94.20,98.05,94.20,98.05,98.05,93.40,598,115493,11301099.00,
500060,BIRLACABLE  ,B ,Q,63.00,63.05,62.05,63.00,63.00,62.90,34,3281,206239.00,
500067,BLUE STAR   ,A ,Q,783.00,783.00,746.00,763.55,761.00,781.15,258,2343,1795046.00,
500068,DISA INDIA  ,X ,Q,6100.00,6255.00,6095.00,6255.00,6255.00,6050.00,8,301,1872786.00,
500069,BNK CAPITAL ,X ,Q,104.70,104.70,99.00,99.50,99.50,103.70,18,376767,37491873.00,
500074,BPL LTD.    ,B ,Q,82.00,87.40,81.85,82.35,82.35,83.00,942,118696,10003357.00,
500078,OAL         ,X ,Q,935.00,936.00,910.00,910.00,910.00,936.85,50,1249,1145517.00,
500083,CENTURY EXT ,B ,Q,5.70,5.70,5.51,5.51,5.51,5.80,18,5470,30247.00,
500084,CESC LTD.   ,A ,Q,910.85,924.60,879.65,901.95,897.15,920.10,1430,34407,31270630.00,
